laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,129315,129197,97.2,84.8,83.9,83,83,0,0.2,0.3,2.8,0,98,0,125636,109650,108514,107315,107315,58,209,431,3561,40,126770,0,17122,108514,58,151,222,3130,13.2,83.9,0,0.1,0.2,2.4
S12000034,ABERDEENSHIRE,128408,128070,85.9,25.5,25.5,25.4,25.4,1.7,4.2,7.6,13.8,2.4,95.4,0,110296,32794,32703,32622,32622,2214,5407,9703,17774,3047,122495,0,77593,32703,2214,3193,4296,8071,60.4,25.5,1.7,2.5,3.3,6.3
E07000223,ADUR,29985,29953,99.1,92.8,92.8,65.4,92.8,0,0,0.1,0.8,0,99.6,0,29727,27826,27826,19606,27826,0,9,40,226,5,29864,0,1901,27826,0,9,31,186,6.3,92.8,0,0,0.1,0.6
E07000026,ALLERDALE,52482,52364,93.1,6,6,6,6,1.2,2,2.8,6.6,0.6,98.7,3.4,48885,3127,3127,3127,3127,617,1057,1479,3479,294,51819,1785,45758,3127,617,440,422,2000,87.2,6,1.2,0.8,0.8,3.8
E07000032,AMBER VALLEY,62512,62430,97.2,62.4,60.6,59,59.1,0.1,0.3,0.4,2.7,0.1,99.5,0,60770,39001,37875,36868,36952,42,157,245,1660,54,62205,1,22895,37875,42,115,88,1415,36.6,60.6,0.1,0.2,0.1,2.3
S12000041,ANGUS,61881,61732,88.1,32.9,32.8,20.9,32.7,1.1,3,5.8,11.6,1.5,95.7,0,54537,20328,20269,12918,20217,704,1829,3593,7195,915,59242,0,34268,20269,704,1125,1764,3602,55.4,32.8,1.1,1.8,2.9,5.8
N09000001,ANTRIM AND NEWTOWNABBEY,65674,65229,95.5,91.1,91,90.3,91,1,1.7,2,3.8,0.5,99.1,0,62720,59808,59790,59314,59782,651,1091,1292,2509,335,65109,1,2930,59790,651,440,201,1217,4.5,91,1,0.7,0.3,1.9
N09000011,ARDS AND NORTH DOWN,78628,78576,97.6,91.7,91.7,91.1,91.7,0.3,0.5,0.9,2.3,0.1,99.9,0,76754,72082,72082,71603,72082,220,432,733,1822,85,78542,0,4672,72082,220,212,301,1089,5.9,91.7,0.3,0.3,0.4,1.4
S12000035,ARGYLL AND BUTE,57178,56495,83.1,6.4,6.4,6.4,6.4,2.8,4.8,8.4,15.7,4.2,90.8,0,47497,3683,3683,3682,3683,1584,2742,4811,8998,2405,51940,0,43814,3683,1584,1158,2069,4187,76.6,6.4,2.8,2,3.6,7.3
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",94573,94416,95.9,87,87,87,87,0.5,1.1,1.7,4,0.6,99.3,0.2,90677,82281,82281,82281,82281,505,1086,1596,3739,521,93886,162,8396,82281,505,581,510,2143,8.9,87,0.5,0.6,0.5,2.3
E07000224,ARUN,80682,80624,97.5,39.7,36.4,34.2,34.2,0,0.1,0.2,2.4,0.1,99.9,0,78699,32036,29361,27574,27629,34,66,146,1925,71,80586,0,49338,29361,34,32,80,1779,61.2,36.4,0,0,0.1,2.2
E07000170,ASHFIELD,60013,59979,98.5,90.4,90.2,35.8,90.1,0,0.3,0.4,1.4,0,99.2,0,59119,54275,54161,21461,54087,17,204,256,860,3,59524,1,4958,54161,17,187,52,604,8.3,90.2,0,0.3,0.1,1
E07000105,ASHFORD,60702,60641,93.5,68.8,67.4,51.6,66.5,0.2,1.1,2.1,6.4,0.4,98.8,35,56743,41793,40883,31307,40349,138,646,1295,3898,216,59979,21230,15860,40883,138,508,649,2603,26.1,67.4,0.2,0.8,1.1,4.3
E07000200,BABERGH,44976,44885,96.7,37.4,37.3,37.2,37.3,0.2,0.5,0.7,3.1,0.2,99.3,4.3,43485,16841,16783,16730,16766,100,211,314,1400,86,44683,1931,26702,16783,100,111,103,1086,59.4,37.3,0.2,0.2,0.2,2.4
E09000002,BARKING AND DAGENHAM,81813,81621,98.5,92,92,72.1,92,0,0.4,0.7,1.2,0,98.5,0,80610,75303,75261,58999,75251,38,366,557,1011,15,80622,0,5349,75261,38,328,191,454,6.5,92,0,0.4,0.2,0.6
E09000003,BARNET,163798,163684,98.1,70.9,68.7,39.1,66.8,0,0,0.1,1.8,0,98.8,0,160739,116120,112520,64122,109366,1,9,242,2945,0,161777,0,48219,112520,1,8,233,2703,29.4,68.7,0,0,0.1,1.7
E08000016,BARNSLEY,119442,119385,98.7,71.8,69.1,27.7,66.9,0.1,0.2,0.3,1.3,0,99.3,35.8,117849,85814,82500,33072,79939,70,263,393,1536,2,118602,42770,35349,82500,70,193,130,1143,29.6,69.1,0.1,0.2,0.1,1
E07000027,BARROW-IN-FURNESS,35942,35925,99.1,56.8,56.8,56.8,56.8,0.1,0.2,0.3,0.9,0.1,99.9,0.3,35609,20403,20403,20403,20403,53,76,114,316,19,35914,99,15206,20403,53,23,38,202,42.3,56.8,0.1,0.1,0.1,0.6
