laua,laua_name,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4,per_sites_with_fibre_backhaul
E06000001,Hartlepool,0.08,0.14,3.49,96.29,2.56,2.94,32.46,62.04,0.79,1.92,5.13,92.15,4.62,7.03,21.41,66.95,7.49,9.23,27.76,55.51,5.26,6.68,20.76,67.3,,,0,0.38,99.62,0,0.02,4.03,9.41,86.53,,0.14,0.57,4.19,95.1,0.15,0.44,5.84,18.57,75,0.62,1.43,9.2,23.02,65.72,0.17,0.52,6.88,20.45,71.97,0,0,,1.43,98.56,0.01,1.37,3.95,35.84,58.84,0.06,0.31,0.59,3.82,95.21,,2.54,6.56,26.48,64.42,1.58,4,9.11,28.16,57.15,,3,7.2,25.67,64.14,,,0,0,99.99,0,0,0.26,7.61,92.12,,0.07,0.29,0.64,99,,0.3,0.75,8.81,90.14,,0.8,2.78,11.19,84.76,,0.35,0.88,9.14,89.63,,,,0,100,0,0,,0.73,99.27,,,0.01,0.31,99.68,,0.15,,2.97,96.88,,,0.58,3.51,95.53,,0.17,,3.5,96.32,66
E06000002,Middlesbrough,,,2.18,97.82,,0,28.49,71.51,,,3.86,96.14,,,25.5,74.5,,0.19,32.65,67.17,,,24.94,75.06,,,,0.1,99.9,,,2.66,11.29,86.05,,,0.11,1.16,98.73,,,2.76,13.28,83.97,,,5.11,15.14,79.74,,,1.9,12.64,85.46,,,,0,100,,,1.51,16.49,82,,,,0.04,99.96,,,2.49,18.65,78.87,,,2.15,18.21,79.65,,,2.59,17.82,79.59,,,,,100,,,0.19,4.85,94.96,,,,,100,,,0.13,4.99,94.88,,,0.8,6.56,92.65,,,0.17,4.5,95.33,,,,,100,,,,0,100,,,,,100,,,,,100,,,,0.04,99.96,,,,,100,48
E06000003,Redcar and Cleveland,0.06,0.26,2.9,96.78,0.91,2.25,25.54,71.3,2.49,2.28,16.35,78.88,3.1,5.59,31.67,59.64,11.24,10.93,31.7,46.13,2.97,4.77,32.8,59.46,,0,0.05,0.92,99.02,0.05,0.34,6.84,10.08,82.69,0.08,0.56,4.95,8.44,85.97,0.21,0.9,9.9,22.83,66.17,2.51,2.28,17.39,23.39,54.42,0.25,1.02,11.12,20.23,67.37,0.01,0.02,0.03,0.34,99.6,0.02,0.36,1.25,9.68,88.69,0.55,0.8,1.42,4.13,93.1,0.34,1.37,6.59,18.9,72.8,2.98,4.19,13.25,18.26,61.32,0.42,1.61,6.78,19.3,71.89,,0,0,0.06,99.93,0.01,0.05,0.31,2.22,97.41,0.04,0.23,0.81,2.54,96.38,0.21,0.14,3.92,8.69,87.05,,1.52,7.78,11.56,77.58,0.25,0.17,4.68,9.47,85.43,,,,0.02,99.98,0.01,0.02,0.03,0.34,99.6,,0.02,0.19,0.81,98.97,,,,2.33,97.67,,,1.3,4.07,93.29,,,,2.62,97.38,72
E06000004,Stockton-on-Tees,0.04,0.17,3.17,96.62,0.73,3.38,28.76,67.13,0.55,1.8,10.29,87.36,0.56,0.91,30.61,67.92,6.48,7.49,30.16,55.86,0.62,1.01,30.17,68.2,,,0.14,1.28,98.59,0.03,0.07,6.32,13.94,79.63,,0.05,2.89,6.53,90.53,,,8.03,19.95,72.02,0.39,1.36,16.59,23.22,58.44,,,7.67,21.14,71.19,,0,0.08,0.28,99.63,0.04,0.42,1.7,17.31,80.52,0.05,0.23,0.77,5.57,93.38,,0.63,1.26,21.18,76.93,1.37,3.49,8.54,20.28,66.31,,0.7,1.24,20.88,77.17,,,0,0.03,99.97,0.01,0.04,0.73,5.43,93.79,,0.01,0.26,3.33,96.4,,,0.28,8.51,91.21,,0.76,6.09,11.93,80.96,,,0.23,9.06,90.71,,,,,100,,0,0.08,0.22,99.7,,,,0.1,99.9,,,,0.35,99.65,,,0.7,5,94.02,,,,0.39,99.61,77
E06000005,Darlington,0.01,0.01,1.18,98.8,0.38,2.12,31.23,66.26,0.07,0.54,8.03,91.35,4.51,7.03,31.29,57.16,7.77,10.76,29.03,52.45,0.33,3.53,26.77,69.37,,,0.27,0.86,98.87,,0.07,6.35,9.79,83.8,,,1.58,6.44,91.98,,0.18,14.53,19.75,65.54,0.07,0.47,17.6,26.94,54.93,,,9.39,16.28,74.33,,,0.02,0.24,99.74,0.05,0.29,3.61,9.15,86.91,,0.06,0.39,2.13,97.41,0.18,1.42,7.16,20.59,70.65,1,2.94,8.4,22.82,64.84,,0.33,5.54,19.57,74.55,,,0,0.15,99.85,,,0.58,2.27,97.15,,,0.24,1.1,98.66,,,2.58,11.41,86.01,,0.23,3.26,12.45,84.02,,,1.87,9.04,89.09,,,,,100,,,0.02,0.23,99.75,,,,0.02,99.98,,,,0.45,99.55,,,0.39,2.02,97.53,,,,0.33,99.67,75
E06000006,Halton,,,0.37,99.63,0.69,0.71,21.2,77.4,,0.04,2.57,97.39,,0.37,16.62,83.01,1.59,4.95,25.64,67.82,,0.84,16.55,82.61,,,0.03,0.04,99.93,,,1.96,4.44,93.6,,,0.12,0.51,99.37,,,2.93,8.65,88.42,,0.01,4.77,12.13,83.09,,,2.91,9.83,87.26,,,,0.92,99.08,0.32,0.5,1.63,19.6,77.95,,,0.01,1.09,98.89,0.12,0.12,0.61,20.51,78.64,0.49,1.37,6.1,26.79,65.25,,,0.83,20.68,78.48,,,,,100,,,0.14,2.94,96.92,,,,0.03,99.97,,,,2.68,97.32,,,0.79,7.46,91.74,,,,2.77,97.23,,,,,100,,,,0.35,99.65,,,,,100,,,,,100,,,0.01,0.71,99.27,,,,,100,72
E06000007,Warrington,0,0.03,2.18,97.79,0.32,1.51,25.49,72.68,0.06,0.21,6.92,92.82,0.64,2.77,26.49,70.1,1.37,4.3,29.76,64.58,0.56,2.3,27.62,69.52,,,0.06,0.26,99.68,0,0.02,3.34,7.68,88.95,,,0.27,3.11,96.62,,,6.04,14.47,79.49,0.04,0.17,9.29,19,71.5,,,5.92,15.06,79.02,,,0.01,0.32,99.67,0.08,0.47,5.62,24.78,69.05,,,0.13,3.06,96.81,,0.69,6.18,23.14,69.99,0.17,1.03,6.92,26.3,65.58,,0.4,5.9,24.91,68.79,,,,0.05,99.95,,0.03,0.83,6.52,92.62,,,,1.54,98.46,,,1.55,9.65,88.8,,0.12,2.18,12.81,84.88,,,1.62,11.82,86.56,,,,,100,,,0,0.3,99.7,,,,,100,,,,0.51,99.49,,,0.1,2.97,96.93,,,,1.45,98.55,59
E06000008,Blackburn with Darwen,0.02,0.04,1.06,98.89,0.3,1.38,16.91,81.41,2.22,2.38,7.91,87.49,3.99,6.61,27.88,61.53,10.8,9.33,21.57,58.31,3.01,5.11,24.76,67.12,,0,0.04,0.25,99.71,0.02,0.02,2.14,4.1,93.72,,0.26,3.58,4.79,91.37,0.11,1.02,13.33,12.41,73.12,2.19,2.5,8.87,15.78,70.65,0.13,0.78,9.96,11.14,77.98,0,0.02,0.03,0.34,99.6,0.19,0.34,0.87,3.57,95.03,0.78,1.39,2.62,10.78,84.44,2.51,4.33,6.16,15,72,6.62,6.87,9.17,22.92,54.42,1.83,3.41,5,15.44,74.32,,0,0.02,0.05,99.93,0.02,0.02,0.1,0.64,99.22,,0.21,1.25,4.29,94.25,0.11,0.91,6.28,10.23,82.46,,2.13,4.73,12.7,78.37,0.13,0.65,3.28,10.74,85.19,,,0,0.01,99.99,0,0.02,0.03,0.16,99.79,,0.03,0.23,1.54,98.2,,0.11,2.96,9.32,87.6,,,2.46,7.77,87.64,,,1.83,8.9,89.26,40
E06000009,Blackpool,,,0.01,99.99,,0.07,10.83,89.09,,,0.2,99.8,,,13.47,86.53,,0.2,15.92,83.88,,,14.47,85.53,,,,,100,,,0.28,3.44,96.28,,,,,100,,,0.59,4.39,95.02,,,0.52,5.32,94.16,,,0.22,5.26,94.52,,,,,100,,,0,11.6,88.4,,,,0.09,99.91,,,,11.86,88.14,,,0.06,13.78,86.16,,,,14.25,85.75,,,,,100,,,,0.95,99.05,,,,,100,,,,1.02,98.98,,,,1.29,98.71,,,,0.66,99.34,,,,,100,,,,,100,,,,,100,,,,,100,,,,0.06,99.94,,,,,100,85
E06000010,"Kingston upon Hull, City of",,,1.34,98.66,,0.5,14.41,85.09,,,4.75,95.25,,0.6,22,77.41,,0.38,19.92,79.7,,0.72,24.15,75.13,,,0,0.01,99.99,,,0.94,1.83,97.23,,,0.55,0.89,98.56,,,1.21,5.28,93.51,,,3.85,5.12,91.02,,,1.45,6.32,92.23,,,,,100,,,0.03,1.59,98.38,,,,,100,,,,2.87,97.13,,0.01,1.03,2.82,96.13,,,,2.53,97.47,,,,,100,,,0.02,0.23,99.75,,,,,100,,,,0.3,99.7,,,0.91,1.44,97.66,,,,0.36,99.64,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,,,,,100,68
