laua,laua_name,pixel_count,prem_count,ab_rd_count,mway_count,mway_ard_count,2G_prem_out_0,2G_prem_out_1,2G_prem_out_2,2G_prem_out_3,2G_prem_in_0,2G_prem_in_1,2G_prem_in_2,2G_prem_in_3,2G_geo_out_0,2G_geo_out_1,2G_geo_out_2,2G_geo_out_3,2G_abrd_in_0,2G_abrd_in_1,2G_abrd_in_2,2G_abrd_in_3,2G_mway_in_0,2G_mway_in_1,2G_mway_in_2,2G_mway_in_3,2G_mway_ard_in_0,2G_mway_ard_in_1,2G_mway_ard_in_2,2G_mway_ard_in_3,3G_prem_out_0,3G_prem_out_1,3G_prem_out_2,3G_prem_out_3,3G_prem_out_4,3G_prem_in_0,3G_prem_in_1,3G_prem_in_2,3G_prem_in_3,3G_prem_in_4,3G_geo_out_0,3G_geo_out_1,3G_geo_out_2,3G_geo_out_3,3G_geo_out_4,3G_abrd_in_0,3G_abrd_in_1,3G_abrd_in_2,3G_abrd_in_3,3G_abrd_in_4,3G_mway_in_0,3G_mway_in_1,3G_mway_in_2,3G_mway_in_3,3G_mway_in_4,3G_mway_ard_in_0,3G_mway_ard_in_1,3G_mway_ard_in_2,3G_mway_ard_in_3,3G_mway_ard_in_4,4G_prem_out_0,4G_prem_out_1,4G_prem_out_2,4G_prem_out_3,4G_prem_out_4,4G_prem_in_0,4G_prem_in_1,4G_prem_in_2,4G_prem_in_3,4G_prem_in_4,4G_geo_out_0,4G_geo_out_1,4G_geo_out_2,4G_geo_out_3,4G_geo_out_4,4G_abrd_in_0,4G_abrd_in_1,4G_abrd_in_2,4G_abrd_in_3,4G_abrd_in_4,4G_mway_in_0,4G_mway_in_1,4G_mway_in_2,4G_mway_in_3,4G_mway_in_4,4G_mway_ard_in_0,4G_mway_ard_in_1,4G_mway_ard_in_2,4G_mway_ard_in_3,4G_mway_ard_in_4,Voice_prem_out_0,Voice_prem_out_1,Voice_prem_out_2,Voice_prem_out_3,Voice_prem_out_4,Voice_prem_in_0,Voice_prem_in_1,Voice_prem_in_2,Voice_prem_in_3,Voice_prem_in_4,Voice_geo_out_0,Voice_geo_out_1,Voice_geo_out_2,Voice_geo_out_3,Voice_geo_out_4,Voice_abrd_in_0,Voice_abrd_in_1,Voice_abrd_in_2,Vocie_abrd_in_3,Voice_abrd_in_4,Voice_mway_in_0,Voice_mway_in_1,Voice_mway_in_2,Voice_mway_in_3,Voice_mway_in_4,Voice_mway_ard_in_0,Voice_mway_ard_in_1,Voice_mway_ard_in_2,Voice_mway_ard_in_3,Voice_mway_ard_in_4,Data_prem_out_0,Data_prem_out_1,Data_prem_out_2,Data_prem_out_3,Data_prem_out_4,Data_prem_in_0,Data_prem_in_1,Data_prem_in_2,Data_prem_in_3,Data_prem_in_4,Data_geo_out_0,Data_geo_out_1,Data_geo_out_2,Data_geo_out_3,Data_geo_out_4,Data_abrd_in_0,Data_abrd_in_1,Data_abrd_in_2,Data_abrd_in_3,Data_abrd_in_4,Data_mway_in_0,Data_mway_in_1,Data_mway_in_2,Data_mway_in_3,Data_mway_in_4,Data_mway_ard_in_0,Data_mway_ard_in_1,Data_mway_ard_in_2,Data_mway_ard_in_3,Data_mway_ard_in_4
E06000001,Hartlepool,9345,47585,665,0,565,0.09,0.29,3.71,95.91,3.01,2.61,32.66,61.73,0.93,1.88,5.18,92.01,4.92,7.77,22.01,65.3,,,,,5.62,7.37,21.66,65.35,,0,0,0.36,99.63,0.01,0.1,4.28,9.23,86.38,,0.12,0.75,4.07,95.06,0.3,0.3,6.58,17.83,75,,,,,,0.35,0.35,7.75,19.58,71.97,0,0,0.01,1.24,98.75,0.01,1.98,5.02,30.53,62.46,0.08,0.21,0.54,2.92,96.25,,2.53,7.34,25.59,64.54,,,,,,,2.81,7.22,25.51,64.47,,0,0,0,100,0.01,0,0.35,7.89,91.75,,0.07,0.3,0.59,99.03,,0.44,0.9,8.68,89.98,,,,,,,0.52,1.06,8.98,89.44,,,,,100,0,0,0.01,0.49,99.49,,,,0.08,99.92,,,0.15,1.2,98.65,,,,,,,,0.17,1.41,98.42
E06000002,Middlesbrough,5387,68329,760,0,577,,,4.58,95.42,,0,37.52,62.48,,,7.23,92.77,,,33.79,66.21,,,,,,,34.82,65.18,,,,0.08,99.92,,,2.17,10.62,87.21,,,,1.46,98.54,,,3.67,9.85,86.47,,,,,,,,2.76,10.04,87.2,,,,0.18,99.82,,,2.4,22.4,75.2,,,,0.39,99.61,,,4.19,24.95,70.86,,,,,,,,3.45,25.07,71.48,,,,0,100,,,0.6,5.72,93.68,,,,0.21,99.79,,,1.31,4.07,94.62,,,,,,,,0.86,3.63,95.51,,,,,100,,,,0.18,99.82,,,,,100,,,,0.13,99.87,,,,,,,,,,100
E06000003,Redcar and Cleveland,24471,68559,1469,0,1190,0.05,0.78,3.7,95.47,1.92,2.8,27.92,67.36,2.87,2.91,16.28,77.94,3.65,5.31,32.48,58.56,,,,,3.48,4.43,33.88,58.21,0,0,0.07,0.63,99.3,0.06,0.33,5.15,10.91,83.54,0.18,0.53,5.54,7.39,86.36,,0.9,10.41,20.18,68.52,,,,,,,1.11,11.75,18.39,68.75,0.01,0,0.07,0.49,99.43,0.02,0.48,1.46,9.71,88.32,0.66,0.81,1.5,7.16,89.88,0.14,0.82,6.38,20.42,72.24,,,,,,0.17,1.01,7.29,20.24,71.29,0,0,0.01,0.08,99.91,0.01,0.04,0.44,2.9,96.62,0.13,0.31,0.8,3.85,94.91,,0.14,3.58,9.91,86.38,,,,,,,0.17,4.33,10.57,84.93,,0,0,0.01,99.99,0.01,0,0.05,0.45,99.49,0,0.07,0.2,0.5,99.22,,,,3.54,96.46,,,,,,,,,4.11,95.89
E06000004,Stockton-on-Tees,20517,92889,1426,0,1284,0.04,0.29,3.5,96.17,0.93,2.33,31.31,65.43,0.47,1.91,11.45,86.17,0.63,1.11,33.84,64.42,,,,,0.7,1.24,33.91,64.15,,0,0.1,1.21,98.69,0,0.09,6.14,14.15,79.62,,0.03,2.71,6.21,91.05,,0.14,6.84,19.24,73.78,,,,,,,0.16,6.57,20.51,72.76,,0,0.03,0.36,99.61,0.05,0.51,2.16,15.42,81.86,0.01,0.09,0.46,5.9,93.54,,0.49,2.17,26.19,71.15,,,,,,,0.54,2.26,25.58,71.62,,0,0,0.03,99.96,0,0.04,0.8,5.65,93.51,,0,0.2,3.8,96,,0.07,0.84,11.68,87.4,,,,,,,0.08,0.86,11.8,87.27,,,,0,100,,0,0.03,0.29,99.68,,,,0.03,99.97,,,,0.85,99.15,,,,,,,,,0.94,99.06
E06000005,Darlington,19746,54760,1114,127,903,0.02,0.04,1.06,98.89,0.68,1.91,30.87,66.54,0.13,0.54,8.57,90.76,5.31,9.08,29.37,56.24,,,4.71,95.29,0.44,5.51,26.15,67.91,,,0.23,0.8,98.97,,0.05,5.1,6.65,88.2,,,1.51,6.55,91.94,,,13.63,18.82,67.55,,,1.57,8.64,89.79,,,8.28,17.04,74.68,,,0.02,0.25,99.73,0.04,0.13,3.93,7.55,88.35,,0.07,0.41,1.95,97.57,0.27,1.15,6.34,19.2,73.05,,,,3.95,96.05,,0.11,4.43,19.49,75.97,,,,0.17,99.83,,,0.6,2.02,97.39,,,0.23,1.05,98.72,,,2.4,11.69,85.91,,,,,100,,,1.87,9.38,88.75,,,,0,100,,,0.02,0.23,99.75,,,,0.02,99.98,,,,0.54,99.46,,,,,100,,,,0.33,99.67
E06000006,Halton,7905,62497,824,84,724,,0,0.56,99.44,0.49,1.04,20.55,77.93,,0.05,2.73,97.22,0.12,0.73,15.89,83.25,,3.6,17.86,78.54,,0.69,17.12,82.19,,,0.01,0.04,99.95,,,2.13,3.69,94.18,,,0.05,0.45,99.5,,,1.84,7.94,90.22,,,,9.58,90.42,,,1.67,8.75,89.59,,,0,0.09,99.91,0.03,0.08,1.01,10.12,88.76,,,0.01,0.29,99.69,,0.24,0.61,10.32,88.83,,,3.6,15.47,80.93,,0.14,1.11,9.81,88.94,,,,0.04,99.96,,,0.09,1.57,98.34,,,,0.06,99.94,,,,1.71,98.29,,,,4.79,95.21,,,,1.94,98.06,,,,,100,,,,0.09,99.91,,,,,100,,,,,100,,,,,100,,,,,100
E06000007,Warrington,18069,100096,1751,510,1803,0,0.04,1.84,98.12,0.47,1.38,25.79,72.37,0.03,0.17,6.96,92.84,0.87,2.94,26.2,69.99,,0.58,28.23,71.19,0.85,2.18,27.27,69.71,,,0.05,0.21,99.75,,0.03,2.94,6.24,90.79,,,0.16,2.38,97.45,,,5.24,14.24,80.52,,,4.3,14.32,81.38,,,5.08,14.33,80.59,,,0,0.35,99.65,0.03,0.04,2.11,23.02,74.79,,,0.02,2.43,97.55,,0.11,3.14,20.45,76.3,,,2.72,21.36,75.92,,0.05,3.37,21.59,74.99,,,,0.05,99.95,,0.03,0.5,4.55,94.91,,,,1.08,98.92,,,1.37,7.42,91.21,,,1.74,10.59,87.67,,,1.6,8.65,89.75,,,,0,100,,,0,0.35,99.65,,,,0.05,99.95,,,,0.51,99.49,,,,3.53,96.47,,,,1.33,98.67
E06000008,Blackburn with Darwen,13702,67578,879,104,763,0.02,0.04,1.27,98.67,0.22,1.16,20.93,77.68,2.44,2.4,8.53,86.63,4.79,5.35,33.22,56.64,,,17.34,82.66,3.67,4.58,29.21,62.54,,0,0.04,0.2,99.76,0.02,0.01,0.99,2.96,96.02,,0.26,1.94,3.21,94.6,0.23,0.57,8.45,11.29,79.46,,,5.81,6.77,87.42,0.26,0.39,4.07,10.11,85.17,0,0.02,0.02,0.44,99.52,0.08,0.51,0.6,3.47,95.35,0.69,1.22,2.26,10.91,84.91,1.37,2.39,9.24,15.01,71.99,,,,18.24,81.76,0.91,1.83,7.62,16.89,72.74,,0,0.01,0.03,99.96,0.02,0.01,0.1,0.8,99.07,,0.17,0.86,2.27,96.71,0.23,0.57,4.91,7.07,87.22,,,,,100,0.26,0.39,1.97,6.7,90.68,,,0,0,100,0,0.01,0.02,0.11,99.85,,0.04,0.13,0.59,99.24,,,1.83,6.61,91.56,,,,,100,,,0.65,5.25,94.1
E06000009,Blackpool,3484,77737,683,5,456,,,0.07,99.93,,0.18,11.97,87.85,,,0.23,99.77,,0.58,14.21,85.21,,,20.01,79.99,,0.87,14.69,84.43,,,,,100,,,0.28,3.16,96.57,,,,,100,,,0.44,4.4,95.17,,,,,100,,,0.22,5.05,94.74,,,,0.06,99.94,,,0.02,14.7,85.28,,,,0.14,99.86,,,0.15,12.74,87.12,,,,20.01,79.99,,,0.22,14.69,85.09,,,,,100,,,,0.7,99.3,,,,,100,,,,1.17,98.83,,,,,100,,,,0.88,99.12,,,,,100,,,,0.06,99.94,,,,,100,,,,,100,,,,,100,,,,,100
E06000010,"Kingston upon Hull, City of",7131,128658,664,0,555,,,0.15,99.85,,0,18.34,81.66,,,2.13,97.87,,,19.43,80.57,,,,,,,21.63,78.37,,,0,0,99.99,,,0.59,2.58,96.83,,,0.28,0.52,99.19,,,0.46,5.29,94.26,,,,,,,,0.55,6.32,93.13,,,,,100,,,0.03,1.48,98.49,,,,0.03,99.97,,,0.15,4.97,94.88,,,,,,,,0.18,5.95,93.87,,,,,100,,,0.03,0.17,99.8,,,,0.03,99.97,,,,1.05,98.95,,,,,,,,,1.26,98.74,,,,,100,,,,,100,,,,,100,,,,,100,,,,,,,,,,100
